location,count,link
"deary, id",65,"https://latahcountyhistoricalsociety.github.io/deary-pilot/browse.html#deary,%20id"
"dry ridge, id",1,"https://latahcountyhistoricalsociety.github.io/deary-pilot/browse.html#dry%20ridge,%20id"
